Complaint Text,clean_text,Category,Subcategory,label,label_name
The main road near sector 5 has massive potholes causing accidents daily. Urgent repair needed.,main road near sector massive pothole causing accident daily urgent repair needed,Infrastructure,Roads & Transport,5,Infrastructure
"Streetlights on MG Road have been non-functional for 3 weeks. The area is completely dark at night, unsafe for residents.",streetlight road non functional week area completely dark night unsafe resident,Infrastructure,Roads & Transport,5,Infrastructure
The bridge on NH-47 has visible cracks and is structurally unsafe. Thousands of vehicles use it daily.,bridge visible crack structurally unsafe thousand vehicle use daily,Infrastructure,Roads & Transport,5,Infrastructure
Footpath near the railway station is broken and encroached by vendors. Pedestrians are forced onto the road.,footpath near railway station broken encroached vendor pedestrian forced onto road,Infrastructure,Roads & Transport,5,Infrastructure
Road construction work started 6 months ago near ward 12 is incomplete and causing major traffic issues.,road construction work started month ago near ward incomplete causing major traffic issue,Infrastructure,Roads & Transport,5,Infrastructure
"Public bus number 42 has been discontinued without notice, leaving thousands of daily commuters stranded.",public bus number discontinued without notice leaving thousand daily commuter stranded,Infrastructure,Roads & Transport,5,Infrastructure
Speed breakers on school zone road are missing. Children's safety is at serious risk every morning.,speed breaker school zone road missing child safety serious risk every morning,Infrastructure,Roads & Transport,5,Infrastructure
"The underpass at city center floods every time it rains, making it impassable for 2-3 days at a time.",underpass city center flood every time rain making impassable day time,Infrastructure,Roads & Transport,5,Infrastructure
Auto-rickshaw drivers are refusing to use meters and overcharging passengers near the bus stand.,auto rickshaw driver refusing use meter overcharging passenger near bus stand,Infrastructure,Roads & Transport,5,Infrastructure
The railway station parking lot is mismanaged and unofficial agents are collecting money illegally.,railway station parking lot mismanaged unofficial agent collecting money illegally,Infrastructure,Roads & Transport,5,Infrastructure
"Divider on the highway was damaged in an accident a month ago and has not been repaired, causing head-on collision risk.",divider highway damaged accident month ago repaired causing head collision risk,Infrastructure,Roads & Transport,5,Infrastructure
Traffic signals near the main chowk are malfunctioning for the past 10 days causing traffic jams every hour.,traffic signal near main chowk malfunctioning past day causing traffic jam every hour,Infrastructure,Roads & Transport,5,Infrastructure
The municipal road drainage system is blocked causing waterlogging during every rainfall in colony area.,municipal road drainage system blocked causing waterlogging every rainfall colony area,Infrastructure,Roads & Transport,5,Infrastructure
"Bus shelter at stop number 14 has been demolished but a new one has not been built, exposing commuters to sun and rain.",bus shelter stop number demolished new one built exposing commuter sun rain,Infrastructure,Roads & Transport,5,Infrastructure
Road markings and zebra crossings near government school have faded completely and not repainted for over a year.,road marking zebra crossing near government school faded completely repainted year,Infrastructure,Roads & Transport,5,Infrastructure
The newly built road near phase 3 was damaged within a month due to poor quality construction material.,newly built road near phase damaged within month due poor quality construction material,Infrastructure,Roads & Transport,5,Infrastructure
Unauthorized speed breakers have been placed by residents blocking traffic flow on the main road.,unauthorized speed breaker placed resident blocking traffic flow main road,Infrastructure,Roads & Transport,5,Infrastructure
The culvert near village panchayat is broken and cattle and vehicles have fallen into it multiple times this month.,culvert near village panchayat broken cattle vehicle fallen multiple time month,Infrastructure,Roads & Transport,5,Infrastructure
Garbage-laden trucks are using the residential lane and destroying the road surface every single day.,garbage laden truck using residential lane destroying road surface every single day,Infrastructure,Roads & Transport,5,Infrastructure
