#,Category,Subcategory,Complaint Text,Char Count,label,label_name,clean_text
1,Infrastructure,Roads & Transport,The main road near sector 5 has massive potholes causing accidents daily. Urgent repair needed.,95,5,Infrastructure,main road near sector massive pothole causing accident daily urgent repair needed
2,Infrastructure,Roads & Transport,"Streetlights on MG Road have been non-functional for 3 weeks. The area is completely dark at night, unsafe for residents.",121,5,Infrastructure,streetlight road non functional week area completely dark night unsafe resident
3,Infrastructure,Roads & Transport,The bridge on NH-47 has visible cracks and is structurally unsafe. Thousands of vehicles use it daily.,102,5,Infrastructure,bridge visible crack structurally unsafe thousand vehicle use daily
4,Infrastructure,Roads & Transport,Footpath near the railway station is broken and encroached by vendors. Pedestrians are forced onto the road.,108,5,Infrastructure,footpath near railway station broken encroached vendor pedestrian forced onto road
5,Infrastructure,Roads & Transport,Road construction work started 6 months ago near ward 12 is incomplete and causing major traffic issues.,104,5,Infrastructure,road construction work started month ago near ward incomplete causing major traffic issue
6,Infrastructure,Roads & Transport,"Public bus number 42 has been discontinued without notice, leaving thousands of daily commuters stranded.",105,5,Infrastructure,public bus number discontinued without notice leaving thousand daily commuter stranded
7,Infrastructure,Roads & Transport,Speed breakers on school zone road are missing. Children's safety is at serious risk every morning.,99,5,Infrastructure,speed breaker school zone road missing child safety serious risk every morning
8,Infrastructure,Roads & Transport,"The underpass at city center floods every time it rains, making it impassable for 2-3 days at a time.",101,5,Infrastructure,underpass city center flood every time rain making impassable day time
9,Infrastructure,Roads & Transport,Auto-rickshaw drivers are refusing to use meters and overcharging passengers near the bus stand.,96,5,Infrastructure,auto rickshaw driver refusing use meter overcharging passenger near bus stand
10,Infrastructure,Roads & Transport,The railway station parking lot is mismanaged and unofficial agents are collecting money illegally.,99,5,Infrastructure,railway station parking lot mismanaged unofficial agent collecting money illegally
11,Infrastructure,Roads & Transport,"Divider on the highway was damaged in an accident a month ago and has not been repaired, causing head-on collision risk.",120,5,Infrastructure,divider highway damaged accident month ago repaired causing head collision risk
12,Infrastructure,Roads & Transport,Traffic signals near the main chowk are malfunctioning for the past 10 days causing traffic jams every hour.,108,5,Infrastructure,traffic signal near main chowk malfunctioning past day causing traffic jam every hour
13,Infrastructure,Roads & Transport,The municipal road drainage system is blocked causing waterlogging during every rainfall in colony area.,104,5,Infrastructure,municipal road drainage system blocked causing waterlogging every rainfall colony area
14,Infrastructure,Roads & Transport,"Bus shelter at stop number 14 has been demolished but a new one has not been built, exposing commuters to sun and rain.",119,5,Infrastructure,bus shelter stop number demolished new one built exposing commuter sun rain
15,Infrastructure,Roads & Transport,Road markings and zebra crossings near government school have faded completely and not repainted for over a year.,113,5,Infrastructure,road marking zebra crossing near government school faded completely repainted year
16,Infrastructure,Roads & Transport,The newly built road near phase 3 was damaged within a month due to poor quality construction material.,103,5,Infrastructure,newly built road near phase damaged within month due poor quality construction material
17,Infrastructure,Roads & Transport,Unauthorized speed breakers have been placed by residents blocking traffic flow on the main road.,97,5,Infrastructure,unauthorized speed breaker placed resident blocking traffic flow main road
18,Infrastructure,Roads & Transport,The culvert near village panchayat is broken and cattle and vehicles have fallen into it multiple times this month.,115,5,Infrastructure,culvert near village panchayat broken cattle vehicle fallen multiple time month
19,Infrastructure,Roads & Transport,Garbage-laden trucks are using the residential lane and destroying the road surface every single day.,101,5,Infrastructure,garbage laden truck using residential lane destroying road surface every single day
20,Infrastructure,Roads & Transport,The government bus stand has no drinking water facility or clean toilets for passengers waiting for long hours.,111,5,Infrastructure,government bus stand drinking water facility clean toilet passenger waiting long hour
21,Infrastructure,Roads & Transport,"Road work near sector 9 has been abandoned midway, leaving debris that causes accidents at night.",97,5,Infrastructure,road work near sector abandoned midway leaving debris cause accident night
22,Infrastructure,Roads & Transport,Electric cables are hanging dangerously low over the main road near the temple creating risk of electrocution.,110,5,Infrastructure,electric cable hanging dangerously low main road near temple creating risk electrocution
23,Infrastructure,Roads & Transport,"There are no road signs or direction boards in the new township area, causing confusion for visitors.",101,5,Infrastructure,road sign direction board new township area causing confusion visitor
24,Infrastructure,Roads & Transport,The public cycle track near the park is being used by motorcycles illegally with no enforcement action taken.,109,5,Infrastructure,public cycle track near park used motorcycle illegally enforcement action taken
25,Infrastructure,Roads & Transport,Heavy construction vehicles are damaging residential roads not meant for such loads without any permission.,107,5,Infrastructure,heavy construction vehicle damaging residential road meant load without permission
26,Water & Sanitation,Water Supply,Tap water in our area contains mud and foul smell. It is unfit for drinking and causing illness in children.,108,6,Water & Sanitation,tap water area contains mud foul smell unfit drinking causing illness child
27,Water & Sanitation,Water Supply,Water supply has been cut off in our ward for 5 consecutive days with no official communication from the department.,116,6,Water & Sanitation,water supply cut ward consecutive day official communication department
28,Water & Sanitation,Water Supply,"Water tankers supplied by municipality are dirty and the water has a chemical smell, making it unsafe to use.",109,6,Water & Sanitation,water tanker supplied municipality dirty water chemical smell making unsafe use
29,Water & Sanitation,Water Supply,The water pipeline near block C is leaking for 2 weeks causing road damage and water wastage daily.,99,6,Water & Sanitation,water pipeline near block leaking week causing road damage water wastage daily
30,Water & Sanitation,Water Supply,Residents of lower income areas get only 30 minutes of water supply while other wards get 4 hours. This is unfair.,114,6,Water & Sanitation,resident lower income area get minute water supply ward get hour unfair
31,Water & Sanitation,Drainage,The open drainage channel near our colony overflows every monsoon and waste water enters homes.,95,6,Water & Sanitation,open drainage channel near colony overflow every monsoon waste water enters home
32,Water & Sanitation,Drainage,Sewage line is blocked in our street for over a week. The stench is unbearable and health hazard for all residents.,115,6,Water & Sanitation,sewage line blocked street week stench unbearable health hazard resident
33,Water & Sanitation,Drainage,Drainage pipes near the school have burst and sewage water is flowing into the playground used by children.,107,6,Water & Sanitation,drainage pipe near school burst sewage water flowing playground used child
34,Water & Sanitation,Water Supply,The municipal water meter installed at my property is giving incorrect readings and I am being overbilled.,106,6,Water & Sanitation,municipal water meter installed property giving incorrect reading overbilled
35,Water & Sanitation,Drainage,New drainage system constructed last year already has cracks and is not functioning properly after one rain season.,115,6,Water & Sanitation,new drainage system constructed last year already crack functioning properly one rain season
36,Water & Sanitation,Water Supply,Water fluoride levels in our panchayat well are extremely high. Dental fluorosis is common in children here.,108,6,Water & Sanitation,water fluoride level panchayat well extremely high dental fluorosis common child
37,Water & Sanitation,Drainage,Plastic waste dumped in drainage channels is blocking flow and causing flooding on the main road during rains.,110,6,Water & Sanitation,plastic waste dumped drainage channel blocking flow causing flooding main road rain
38,Water & Sanitation,Water Supply,Illegal bore wells drilled by housing society are depleting groundwater and reducing supply to our area.,104,6,Water & Sanitation,illegal bore well drilled housing society depleting groundwater reducing supply area
39,Water & Sanitation,Drainage,Open manholes near residential area are a danger to children and elderly. Three people have fallen in this month.,113,6,Water & Sanitation,open manhole near residential area danger child elderly three people fallen month
40,Water & Sanitation,Water Supply,Water supply department staff are demanding bribe for new connections. This is corruption and must be investigated.,115,6,Water & Sanitation,water supply department staff demanding bribe new connection corruption must investigated
41,Water & Sanitation,Drainage,The storm water drain passes through our village but has not been cleaned for 2 years and is fully blocked with silt.,117,6,Water & Sanitation,storm water drain pass village cleaned year fully blocked silt
42,Water & Sanitation,Water Supply,Overhead water tank in our colony is cracked and water is contaminated. It has not been cleaned for months.,107,6,Water & Sanitation,overhead water tank colony cracked water contaminated cleaned month
43,Water & Sanitation,Drainage,Sewage treatment plant near our locality is not functioning and untreated waste is being discharged into the river.,115,6,Water & Sanitation,sewage treatment plant near locality functioning untreated waste discharged river
44,Water & Sanitation,Water Supply,Water pressure in upper floor of buildings in our ward is very low due to insufficient pumping from the authorities.,116,6,Water & Sanitation,water pressure upper floor building ward low due insufficient pumping authority
45,Water & Sanitation,Drainage,Industrial effluents mixed with municipal drainage are flowing into agricultural land and destroying crops nearby.,114,6,Water & Sanitation,industrial effluent mixed municipal drainage flowing agricultural land destroying crop nearby
46,Water & Sanitation,Water Supply,Free water scheme beneficiaries in our slum are not getting water connections despite repeated applications.,108,6,Water & Sanitation,free water scheme beneficiary slum getting water connection despite repeated application
47,Water & Sanitation,Drainage,"Drain covers near the market area have been stolen and not replaced, posing major risk to pedestrians and cyclists.",115,6,Water & Sanitation,drain cover near market area stolen replaced posing major risk pedestrian cyclist
48,Water & Sanitation,Water Supply,Water bills sent to our locality have incorrect names and addresses causing confusion and billing disputes.,107,6,Water & Sanitation,water bill sent locality incorrect name address causing confusion billing dispute
49,Water & Sanitation,Drainage,Household waste is being dumped directly into the open drain by several households causing blockages regularly.,111,6,Water & Sanitation,household waste dumped directly open drain several household causing blockage regularly
50,Water & Sanitation,Water Supply,Public hand pump installed by panchayat near tribal hamlet has not worked for 3 months. No repair has been done.,112,6,Water & Sanitation,public hand pump installed panchayat near tribal hamlet worked month repair done
51,Electricity,Power Supply,Power cuts in our area last 8 to 10 hours daily despite no official load shedding schedule being announced.,107,1,Electricity,power cut area last hour daily despite official load shedding schedule announced
52,Electricity,Power Supply,Transformer in our colony blew up 4 days ago and has not been replaced. Entire colony is without electricity.,109,1,Electricity,transformer colony blew day ago replaced entire colony without electricity
53,Electricity,Power Supply,Electricity department is sending inflated bills with no proper meter reading. My bill doubled without explanation.,115,1,Electricity,electricity department sending inflated bill proper meter reading bill doubled without explanation
54,Electricity,Power Supply,The electricity connection of my neighbor was cut for non-payment but power to their house was resumed with a bribe.,116,1,Electricity,electricity connection neighbor cut non payment power house resumed bribe
55,Electricity,Power Supply,Voltage fluctuations in our area are burning household appliances. This has happened daily for the past 2 months.,113,1,Electricity,voltage fluctuation area burning household appliance happened daily past month
56,Electricity,Power Supply,Electricity poles in the flood-affected area are tilted and dangerous. Wires have snapped and pose electrocution risk.,118,1,Electricity,electricity pole flood affected area tilted dangerous wire snapped pose electrocution risk
57,Electricity,Power Supply,Government subsidy on electricity bills has not been applied to my account despite multiple submissions of required documents.,126,1,Electricity,government subsidy electricity bill applied account despite multiple submission required document
58,Electricity,Power Supply,"Power supply to our agricultural pump set is given only for 4 hours at midnight, making irrigation extremely difficult.",119,1,Electricity,power supply agricultural pump set given hour midnight making irrigation extremely difficult
59,Electricity,Power Supply,The electricity substation near our school emits continuous loud noise disturbing students during exam preparation.,115,1,Electricity,electricity substation near school emits continuous loud noise disturbing student exam preparation
60,Electricity,Power Supply,Unauthorized electricity tapping by commercial establishments is causing low voltage for all household consumers.,113,1,Electricity,unauthorized electricity tapping commercial establishment causing low voltage household consumer
61,Electricity,Power Supply,Street lights installed under smart city project in our ward are non-functional just 6 months after installation.,113,1,Electricity,street light installed smart city project ward non functional month installation
62,Electricity,Power Supply,An old electricity pole is leaning dangerously over a playground and could fall. Concerned for children's safety.,113,1,Electricity,old electricity pole leaning dangerously playground could fall concerned child safety
63,Electricity,Power Supply,Power outage during rains is a daily occurrence in our colony but DISCOM has taken no permanent corrective steps.,113,1,Electricity,power outage rain daily occurrence colony discom taken permanent corrective step
64,Electricity,Power Supply,My new electricity connection application was submitted 3 months ago with full payment but work has not started.,112,1,Electricity,new electricity connection application submitted month ago full payment work started
65,Electricity,Power Supply,The electricity meter outside my house has been tampered with by an unknown person. I fear I will be falsely blamed.,116,1,Electricity,electricity meter outside house tampered unknown person fear falsely blamed
66,Electricity,Power Supply,Industrial units in our area run heavy machinery at night causing severe fluctuations affecting residential consumers.,118,1,Electricity,industrial unit area run heavy machinery night causing severe fluctuation affecting residential consumer
67,Electricity,Power Supply,Electricity bills are being sent in English only. Rural consumers cannot understand them. Hindi version is needed.,114,1,Electricity,electricity bill sent english rural consumer cannot understand hindi version needed
68,Electricity,Power Supply,Emergency electricity connection for a hospital in our town was denied without valid reason by the department.,110,1,Electricity,emergency electricity connection hospital town denied without valid reason department
69,Electricity,Power Supply,High-tension wire runs directly over our house. We have complained multiple times but no action has been taken.,111,1,Electricity,high tension wire run directly house complained multiple time action taken
70,Electricity,Power Supply,Power supply is restored immediately in high-income areas but low-income localities wait for days after outage.,111,1,Electricity,power supply restored immediately high income area low income locality wait day outage
71,Health,Public Healthcare,The primary health centre in our village has no doctor for the past 2 months. Patients travel 30 km for basic care.,115,4,Health,primary health centre village doctor past month patient travel basic care
72,Health,Public Healthcare,Free medicines under government scheme are not available at our district hospital. Staff asks patients to buy outside.,118,4,Health,free medicine government scheme available district hospital staff asks patient buy outside
73,Health,Public Healthcare,The ambulance service in our taluka takes more than 2 hours to respond to emergency calls. Lives are being lost.,112,4,Health,ambulance service taluka take hour respond emergency call life lost
74,Health,Public Healthcare,Government hospital near our area has no functioning X-ray machine for over 3 months. Patients suffer daily.,108,4,Health,government hospital near area functioning ray machine month patient suffer daily
75,Health,Public Healthcare,Sanitation in the civil hospital ward is extremely poor. Toilets are broken and floors are unclean causing infections.,118,4,Health,sanitation civil hospital ward extremely poor toilet broken floor unclean causing infection
76,Health,Public Healthcare,Ayushman Bharat card holders in our village are being denied cashless treatment at empanelled private hospitals.,112,4,Health,ayushman bharat card holder village denied cashless treatment empanelled private hospital
77,Health,Public Healthcare,Vaccination camp schedule for children under 5 has been cancelled repeatedly with no rescheduling in our panchayat.,115,4,Health,vaccination camp schedule child cancelled repeatedly rescheduling panchayat
78,Health,Public Healthcare,The sub-health centre is being used for storing non-medical items. Medical services have effectively stopped there.,115,4,Health,sub health centre used storing non medical item medical service effectively stopped
79,Health,Public Healthcare,Government hospital staff are rude and neglect patients from lower castes. Discrimination is clearly happening.,111,4,Health,government hospital staff rude neglect patient lower caste discrimination clearly happening
80,Health,Public Healthcare,Dead rats were found in the government hospital kitchen. Food safety and hygiene is being completely ignored.,109,4,Health,dead rat found government hospital kitchen food safety hygiene completely ignored
81,Health,Public Healthcare,Dialysis machines at the civil hospital have been non-functional for a month causing hardship for kidney patients.,114,4,Health,dialysis machine civil hospital non functional month causing hardship kidney patient
82,Health,Public Healthcare,Fake medicines are being distributed at the government dispensary. This is life threatening and needs investigation.,116,4,Health,fake medicine distributed government dispensary life threatening need investigation
83,Health,Public Healthcare,The ASHA worker in our village is not conducting home visits and pocketing incentives without delivering services.,114,4,Health,asha worker village conducting home visit pocketing incentive without delivering service
84,Health,Public Healthcare,Malaria and dengue cases are rising in our area but no fogging or preventive measures have been taken by authorities.,117,4,Health,malaria dengue case rising area fogging preventive measure taken authority
85,Health,Public Healthcare,Blood bank at the district hospital frequently runs out of blood. Cancer patients are being critically affected.,112,4,Health,blood bank district hospital frequently run blood cancer patient critically affected
86,Health,Public Healthcare,No female doctor is available at the PHC. Women patients are uncomfortable and often avoid going for treatment.,111,4,Health,female doctor available phc woman patient uncomfortable often avoid going treatment
